Gene,Score
DTX3L,0.8910124
SFRP1,0.8909003
PDGFA,0.89080566
GREB1L,0.8905828
RB1CC1,0.89030874
CTBP1,0.8899099
AXIN2,0.8897139
CACNA1H,0.88966125
CIR1,0.8895939
HDAC5,0.88950354
CAMK2G,0.88943356
DUSP10,0.8892172
TLR3,0.88902587
LAMB3,0.8890121
DSP,0.88880044
TAB2,0.8883709
RAC2,0.88814956
JUND,0.8881336
RNF43,0.8878834
BDNF,0.8877233
TAOK2,0.8875224
RUNX1T1,0.8873417
RGS3,0.8870435
TNFRSF10A,0.8869442
MFNG,0.88684916
GLI3,0.886729
HSPA6,0.8864919
RASSF1,0.88637364
MYLK,0.8862259
CAMK2B,0.8853813
DUSP1,0.885371
MAML2,0.8853235
TRDN,0.88517135
CDH7,0.8851057
SI,0.88508683
INSRR,0.8850072
DOCK4,0.8849968
SOX17,0.8849864
DNAH3,0.8849599
KMT2B,0.8848804
WEE1,0.88477653
CDKN2C,0.884731
ABCA12,0.8846937
PTPN7,0.8846402
RABEP1,0.8842872
DDB2,0.88399416
ANKRD12,0.88349
JAG1,0.88295996
CNKSR2,0.8828558
FGF18,0.88268363
MYO5B,0.8819249
FGF1,0.8818932
MCM2,0.8818792
HDAC8,0.8818693
FGF17,0.88177603
PIK3R2,0.88174
MBD5,0.8817281
PCDHGA11,0.8816088
RASA2,0.881503
DOCK11,0.88142455
FOSL1,0.8812207
LAMA5,0.8811129
E2F3,0.8810482
ST18,0.8808359
MKNK1,0.880799
PLXNA2,0.8807397
CREB5,0.8807397
EPB41L3,0.8801296
CDC27,0.8800962
ITGA5,0.88004035
PLCE1,0.8798546
RRM2B,0.87965053
PLA2G4A,0.87960505
HPS3,0.8792533
SNTG1,0.8788761
DYNC1H1,0.8788683
PIDD1,0.8788306
IL1RAP,0.8786934
MORC1,0.8786528
MAST4,0.87835
TFDP1,0.87824535
NEDD4,0.8782421
ARRB1,0.87810075
ITGA8,0.8780594
TEP1,0.87795866
INVS,0.8779289
RYK,0.8778252
RSPO1,0.8777862
GRIK2,0.87777174
CFH,0.87708735
CDH15,0.8770653
TNRC6B,0.8768538
RLF,0.87681854
SERPINF1,0.87674177
ORC1,0.8767029
TRPM6,0.8766451
KPNB1,0.8765315
SGK1,0.8765243
FRAT1,0.8761895
NTF3,0.8760642
PPP5C,0.87567604
KIAA1324,0.875652
CDC6,0.87564224
EIF4B,0.87527186
RBL2,0.87522846
ITGA11,0.87493473
RAC3,0.87465435
JAG2,0.8746153
SORT1,0.87430215
ITGA6,0.87415224
GHR,0.87413573
GPC4,0.8740302
PPP1R3A,0.87392896
PTTG1,0.8738392
PCK1,0.873514
ZBTB17,0.87342787
SMC1A,0.8731529
SFN,0.87312746
ZNF385A,0.87294775
FLT4,0.872787
CDC20,0.8727615
MAP3K14,0.87272316
TCF7L1,0.87254626
PTPRR,0.8724105
GTF2I,0.8722711
NFE2L3,0.8722311
MAP3K2,0.8721819
PDPK1,0.8720796
BCL2L11,0.8720614
ZHX1,0.8718215
FOXP2,0.8714963
PPP2CB,0.87139803
PRICKLE1,0.8711059
CHD1L,0.8710545
GNG12,0.87070507
PPP3R1,0.87042826
PLA2G2F,0.8700593
PRKD1,0.86995256
FES,0.8695191
NFASC,0.8694853
RCHY1,0.86948276
DIAPH1,0.8694452
PARP14,0.8693727
TRIP11,0.8693122
NCOA1,0.8690685
RAB3GAP2,0.8689641
FZD7,0.8689124
CHD3,0.8689105
FHL1,0.8687636
PDS5B,0.86859554
CACNB2,0.868532
NLRP3,0.8681149
MRAS,0.86809
ARHGAP32,0.86798483
NCOA6,0.8679507
DLGAP2,0.867886
SPTBN1,0.8671127
NGF,0.86693037
SIAH1,0.8668769
MAGI3,0.8668141
CCNG2,0.8667934
DNM2,0.86675316
PIGR,0.8667194
TXNIP,0.8660124
POGZ,0.86578125
HEY1,0.8656523
VCAM1,0.8654439
MAPKAPK2,0.86539245
PZP,0.8652326
FMNL3,0.8650946
NKD2,0.8650691
GRM3,0.864636
KLHL1,0.8646079
EPOR,0.8641511
JAK2,0.8640051
PPP2R5C,0.8638334
VEGFC,0.8638215
BAMBI,0.86369425
NKD1,0.8634933
HNRNPU,0.86348605
TTK,0.8630894
WNT10B,0.86286944
MASP1,0.86272585
TNFRSF10B,0.86256963
USP1,0.86244106
POLQ,0.862434
KAT6B,0.8624064
BRWD1,0.86208105
TRADD,0.8620381
PTK2B,0.86191285
PCNT,0.86167043
CDKN1C,0.86156464
ARHGAP21,0.86140037
CACNG2,0.8613753
LTBP4,0.8613691
COL6A1,0.86084145
HSPA1B,0.86084074
TLR2,0.86067396
BAD,0.86062574
PHLPP1,0.86056477
SMARCC1,0.8603959
MGA,0.8603898
CNTRL,0.8602873
TBL1Y,0.8602071
ZDHHC17,0.8601914
ITGA3,0.8596418
LTBP2,0.8596363
RYR1,0.85958207
ANKRD30A,0.8590736
CSF3R,0.8587263
ANAPC7,0.85866445
WDR6,0.85863245
TAOK1,0.8584872
EXO1,0.85844475
COL6A2,0.85843503
CDCA5,0.8583721
NRXN1,0.8582661
FGFBP1,0.8578067
MAPK7,0.8573821
EFTUD2,0.8569468
MGAM,0.8569089
LTBP1,0.85675335
SENP2,0.85649204
FLT3LG,0.85640234
FZD5,0.85630476
MCM5,0.8561736
KDM5A,0.8559353
GAP43,0.8559169
CDK1,0.85568494
NPHP4,0.85564035
LAMC1,0.85550743
PRKCD,0.85543746
EP400,0.855284
ZAN,0.855104
ZNF335,0.85490125
WAS,0.85484636
FZD10,0.8548423
USP28,0.8548341
SFMBT1,0.8545311
RASGRP2,0.85445946
CNOT1,0.854346
TUBD1,0.8543039
MPZL3,0.85427815
MYH6,0.8542772
MKNK2,0.85413367
IL2RB,0.8540954
ASXL2,0.8540835
CADPS,0.8538557
MCM4,0.85363865
ZFYVE16,0.8532702
CACNG7,0.85315853
FRAS1,0.85301965
KLHL4,0.8526778
CACNB3,0.85267526
PRKACB,0.8525101
NIN,0.8522458
GPAM,0.85220426
NUMA1,0.85170156
MCM3,0.8516791
LRP5,0.85121566
RELB,0.85119045
MRC1,0.8510731
PKHD1,0.8507957
RERE,0.85062945
ZNRF3,0.85049963
ORC3,0.850423
WWP1,0.85004425
HCRTR2,0.84991944
PCDHB7,0.84974253
PDGFB,0.84919846
LAMP2,0.848704
CPAMD8,0.8485835
OBSL1,0.84857553
ENOX1,0.84853
MYO6,0.8483009
SCN5A,0.8482702
TRIO,0.84822124
CACNA1I,0.84807694
AMOT,0.84773535
WNK4,0.8476081
LIFR,0.8469092
ELF1,0.8465921
PPP2R5A,0.8465334
LFNG,0.84652466
ERC1,0.846351
CTNNA2,0.8462573
ANKS1B,0.845888
MADD,0.8457523
CEP295,0.8457483
BAX,0.84559536
ZNF582,0.8453964
DNAH10,0.84536606
FZD8,0.845231
PCDHA10,0.84515136
KCNB2,0.84472793
RAPGEF6,0.844559
SOST,0.8443341
WNT6,0.84427667
EHMT1,0.8442266
STAG3,0.8439773
PRKAA2,0.84392333
GH2,0.8438481
STMN1,0.8438359
DKK1,0.84360623
BTK,0.8435424
CLCA4,0.84338397
ACACA,0.8433662
IGSF1,0.842786
SRC,0.8426588
SIN3A,0.84256995
STAT4,0.842539
FOSB,0.8423904
SMARCA1,0.8422194
FANCD2,0.8419624
HELQ,0.84166676
ATP8B3,0.8414785
DDIT3,0.8412359
EML5,0.84078544
MAP4K2,0.84072846
PRPF4B,0.84059066
ZNF366,0.8405171
TMPRSS15,0.84038347
SH3KBP1,0.84011114
CDC5L,0.8400909
ITGB7,0.8395378
RASGRP1,0.8394845
KDM4A,0.83936644
PRDM2,0.83918285
HSPA1L,0.8390705
GADD45B,0.83905756
STK4,0.83895963
HNRNPK,0.8384483
BAZ1A,0.8382007
FGF10,0.8381385
HSP90B1,0.8380382
ADCY10,0.83792365
ZFPM2,0.83774894
DYRK1A,0.83751255
CNTLN,0.83701545
CROCC,0.83617526
BUB3,0.8359787
ARHGAP29,0.8356264
STAT6,0.8350784
PARP1,0.8350721
MYD88,0.83501524
ABCC9,0.83485943
IGFBP3,0.8348374
ADGRG6,0.8348133
CDH12,0.8346523
TSC22D1,0.8345919
HIF1A,0.83380646
RRAS2,0.83375436
FZD2,0.8335244
WNT4,0.833223
ABCB5,0.8331694
WNT11,0.8330707
CDH16,0.8329195
PPP1R13L,0.8327317
MYBPC1,0.83264136
CDK5RAP2,0.8324963
NEK8,0.8317953
IGF2R,0.8314955
PPARG,0.8314474
GPD1,0.83132255
SPAG5,0.8310076
PADI2,0.8309717
CECR2,0.83075774
GNAI2,0.8305661
HDX,0.83043474
CACNB4,0.83033055
AGXT2,0.8299645
CTNNA3,0.8295507
